DUNS Number ,Country,Entity Type,Ownership Type,Employees Total,Revenue (USD),SIC Code,Year Found,Global Ultimate Country Name,Legal Status,Corporate Family Members,Market Value (USD),IT Budget,IT spend,No. of PC,No. of Desktops,No. of Laptops,No. of Routers,No. of Servers,No. of Storage Devices
639677726,CHINA               ,Branch,Private,1,0,5051,2023.0,CHINA               ,3.0,24,0,0,0,5.5,5.5,5.5,5.5,0.0,0.0
547756179,CHINA               ,Subsidiary,Private,20,311166,5651,2008.0,CHINA               ,3.0,2,0,5601,3472,5.5,5.5,5.5,5.5,5.5,5.5
728834216,CHINA               ,Subsidiary,Private,89,2414036,2037,2013.0,CHINA               ,3.0,9,8280143,86905,53881,30.5,5.5,5.5,5.5,5.5,5.5
728791839,CHINA               ,Parent,Private,0,306060,191,2012.0,CHINA               ,3.0,3,0,11630,7210,0.0,0.0,0.0,0.0,0.0,0.0
728889244,CHINA               ,Parent,Private,2,1167456,6552,2011.0,CHINA               ,3.0,2,4121120,94564,58629,5.5,5.5,5.5,5.5,5.5,5.5
547827642,CHINA               ,Parent,Unknown,0,17105280,8062,,CHINA               ,101.0,2,54736896,1026317,636316,5.5,5.5,5.5,0.0,0.0,0.0
728864458,CHINA               ,Subsidiary,Private,178,5895716,1222,2015.0,CHINA               ,3.0,2,0,165080,102349,30.5,5.5,0.0,30.5,5.5,5.5
547765600,CHINA               ,Branch,Private,2,72811,5921,2005.0,CHINA               ,3.0,2,253382,2184,1354,5.5,5.5,5.5,5.5,0.0,0.0
639561763,CHINA               ,Subsidiary,Private,178,5895716,1222,2023.0,CHINA               ,3.0,2,0,165080,102349,30.5,5.5,0.0,30.5,5.5,5.5
639511811,CHINA               ,Branch,Private,0,0,7359,2023.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
547784463,CHINA               ,Branch,Private,13,603434,3448,2005.0,CHINA               ,0.0,2,2238740,22327,13842,5.5,5.5,5.5,5.5,5.5,5.5
547783566,CHINA               ,Parent,Private,0,5271,6512,1997.0,CHINA               ,3.0,2,18607,432,267,5.5,5.5,5.5,0.0,5.5,5.5
728770404,CHINA               ,Parent,Private,0,1507000,5999,2016.0,CHINA               ,13.0,2,3631870,33154,20555,5.5,5.5,5.5,0.0,0.0,0.0
728894240,CHINA               ,Parent,Private,1,469800,5431,2016.0,CHINA               ,13.0,2,1249668,8456,5242,5.5,5.5,5.5,5.5,0.0,0.0
728878402,CHINA               ,Branch,Private,12,4069845,5091,2013.0,CHINA               ,3.0,213,13837473,122095,75698,5.5,5.5,5.5,5.5,5.5,5.5
728750681,CHINA               ,Branch,Private,0,0,7549,2016.0,CHINA               ,3.0,3,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
547784055,CHINA               ,Parent,Private,70,7325,4131,2005.0,CHINA               ,3.0,3,23586,278,172,30.5,5.5,5.5,5.5,5.5,5.5
728806967,CHINA               ,Branch,Private,0,0,5261,2009.0,CHINA               ,3.0,128,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
639626703,CHINA               ,Branch,Private,1,0,5812,2023.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,5.5,0.0,0.0
728817754,CHINA               ,Subsidiary,Private,18,93852,272,2018.0,CHINA               ,0.0,2,0,3566,2210,0.0,0.0,0.0,0.0,0.0,0.0
728759756,CHINA               ,Subsidiary,Private,33,22515141,5511,2015.0,CHINA               ,3.0,129,78127539,405273,251269,30.5,5.5,5.5,5.5,5.5,5.5
728865683,CHINA               ,Branch,Private,17,770629,4111,2014.0,CHINA               ,3.0,7,2481425,29284,18156,5.5,5.5,5.5,5.5,5.5,5.5
728903644,CHINA               ,Branch,Private,0,0,5511,2014.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
639570073,CHINA               ,Branch,Unknown,0,0,8748,2002.0,CHINA               ,3.0,41,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
639626606,CHINA               ,Subsidiary,Private,25,1379300,7389,2023.0,CHINA               ,3.0,3,6675812,111723,69268,30.5,5.5,5.5,5.5,5.5,5.5
728766815,CHINA               ,Branch,Private,0,0,7353,2010.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
728787772,CHINA               ,Branch,Private,0,0,6552,2012.0,CHINA               ,3.0,2,0,0,0,5.5,5.5,5.5,0.0,5.5,5.5
638031169,CHINA               ,Subsidiary,Private,16,1714112,1799,,CHINA               ,0.0,4,5245183,42853,26568,5.5,5.5,5.5,5.5,5.5,5.5
638027549,CHINA               ,Subsidiary,Private,16,1714112,1799,,CHINA               ,0.0,4,5245183,42853,26568,5.5,5.5,5.5,5.5,5.5,5.5
728876428,CHINA               ,Branch,Private,0,0,5084,2019.0,CHINA               ,3.0,3,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
638048555,CHINA               ,Parent,Private,0,441376,7389,2023.0,CHINA               ,3.0,2,2136260,30896,19155,5.5,5.5,5.5,0.0,5.5,5.5
728870738,CHINA               ,Parent,Private,0,557970,7999,2019.0,CHINA               ,3.0,2,1891518,39058,24215,5.5,5.5,5.5,0.0,5.5,5.5
639511847,CHINA               ,Subsidiary,Unknown,1,846967,8742,2023.0,CHINA               ,3.0,7,2854279,59288,36758,5.5,5.5,5.5,5.5,0.0,0.0
728794351,CHINA               ,Branch,Private,0,0,4215,2013.0,CHINA               ,3.0,21,0,0,0,5.5,5.5,5.5,0.0,0.0,0.0
638081595,CHINA               ,Subsidiary,Private,25,1379300,7389,2022.0,CHINA               ,3.0,41,6675812,111723,69268,30.5,5.5,5.5,5.5,5.5,5.5
728806255,CHINA               ,Subsidiary,Private,160,5149440,3679,2016.0,CHINA               ,3.0,4,19155917,185380,114935,300.5,5.5,0.0,30.5,5.5,0.0
728850051,CHINA               ,Subsidiary,Private,20,3835200,7353,2014.0,CHINA               ,3.0,5,18562368,310651,192603,30.5,5.5,5.5,5.5,5.5,5.5
728807406,CHINA               ,Subsidiary,Private,15,584640,8999,2013.0,CHINA               ,3.0,6,0,40925,25373,5.5,5.5,5.5,5.5,5.5,5.5
